"Episode","Date","Location","Guest","GuestUrl","Party","PartyUrl"
0,"1979-05-04","","Robin Day","https://en.wikipedia.org/wiki/Robin_Day","Unknown",""
0,"1979-05-04","","Robert McKenzie (psephologist)","https://en.wikipedia.org/wiki/Robert_McKenzie_(psephologist)","Unknown",""
0,"1979-05-04","","David Butler (psephologist)","https://en.wikipedia.org/wiki/David_Butler_(psephologist)","Unknown",""
1,"1979-09-25","Greenwood Theatre, South London","Michael Foot","https://en.wikipedia.org/wiki/Michael_Foot","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
1,"1979-09-25","Greenwood Theatre, South London","Teddy Taylor","https://en.wikipedia.org/wiki/Teddy_Taylor","Scottish Conservatives","https://en.wikipedia.org/wiki/Scottish_Conservatives"
1,"1979-09-25","Greenwood Theatre, South London","Edna O'Brien","https://en.wikipedia.org/wiki/Edna_O%27Brien","Unknown",""
1,"1979-09-25","Greenwood Theatre, South London","Derek Worlock","https://en.wikipedia.org/wiki/Derek_Worlock","Unknown",""
2,"1979-10-02","Greenwood Theatre, South London","Tess Gill","","Unknown",""
2,"1979-10-02","Greenwood Theatre, South London","Jo Grimond","https://en.wikipedia.org/wiki/Jo_Grimond","Unknown",""
2,"1979-10-02","Greenwood Theatre, South London","Eric Morley","https://en.wikipedia.org/wiki/Eric_Morley","Unknown",""
2,"1979-10-02","Greenwood Theatre, South London","Peter Shore","https://en.wikipedia.org/wiki/Peter_Shore","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
3,"1979-10-09","Greenwood Theatre, South London","Sue Arnold","https://en.wikipedia.org/wiki/Sue_Arnold","Unknown",""
3,"1979-10-09","Greenwood Theatre, South London","Michael Heseltine","https://en.wikipedia.org/wiki/Michael_Heseltine","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
3,"1979-10-09","Greenwood Theatre, South London","Bill Rodgers, Baron Rodgers of Quarry Bank","https://en.wikipedia.org/wiki/William_Rodgers,_Baron_Rodgers_of_Quarry_Bank","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
3,"1979-10-09","Greenwood Theatre, South London","Arthur Scargill","https://en.wikipedia.org/wiki/Arthur_Scargill","Unknown",""
4,"1979-10-16","Greenwood Theatre, South London","James Anderton","https://en.wikipedia.org/wiki/James_Anderton","Unknown",""
4,"1979-10-16","Greenwood Theatre, South London","Judith Hart","https://en.wikipedia.org/wiki/Judith_Hart","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
4,"1979-10-16","Greenwood Theatre, South London","John Mortimer","https://en.wikipedia.org/wiki/John_Mortimer","Unknown",""
4,"1979-10-16","Greenwood Theatre, South London","Enoch Powell","https://en.wikipedia.org/wiki/Enoch_Powell","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
5,"1979-10-23","Greenwood Theatre, South London","Anthony Frodsham","","Unknown",""
5,"1979-10-23","Greenwood Theatre, South London","Clive Jenkins","https://en.wikipedia.org/wiki/Clive_Jenkins","Unknown",""
5,"1979-10-23","Greenwood Theatre, South London","Margo MacDonald","https://en.wikipedia.org/wiki/Margo_MacDonald","Independent politician","https://en.wikipedia.org/wiki/Independent_politician"
5,"1979-10-23","Greenwood Theatre, South London","Nicholas Scott","https://en.wikipedia.org/wiki/Nicholas_Scott","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
6,"1979-10-30","Greenwood Theatre, South London","Roy Hattersley","https://en.wikipedia.org/wiki/Roy_Hattersley","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
6,"1979-10-30","Greenwood Theatre, South London","Elspeth Howe, Baroness Howe of Idlicote","https://en.wikipedia.org/wiki/Elspeth_Howe,_Baroness_Howe_of_Idlicote","Unknown",""
6,"1979-10-30","Greenwood Theatre, South London","Emily Macfarquhar","","Unknown",""
6,"1979-10-30","Greenwood Theatre, South London","Ray Whitney (politician)","https://en.wikipedia.org/wiki/Ray_Whitney_(politician)","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
7,"1979-11-06","Greenwood Theatre, South London","Julian Amery","https://en.wikipedia.org/wiki/Julian_Amery","Unknown",""
7,"1979-11-06","Greenwood Theatre, South London","Paul Johnson (writer)","https://en.wikipedia.org/wiki/Paul_Johnson_(writer)","Unknown",""
7,"1979-11-06","Greenwood Theatre, South London","Wendy Mantle","","Unknown",""
7,"1979-11-06","Greenwood Theatre, South London","Sidney Weighell","https://en.wikipedia.org/wiki/Sid_Weighell","Unknown",""
8,"1979-11-13","Greenwood Theatre, South London","Clement Freud","https://en.wikipedia.org/wiki/Clement_Freud","Liberal Party (UK)","https://en.wikipedia.org/wiki/Liberal_Party_(UK)"
8,"1979-11-13","Greenwood Theatre, South London","Ann Leslie","https://en.wikipedia.org/wiki/Ann_Leslie","Unknown",""
8,"1979-11-13","Greenwood Theatre, South London","David Owen","https://en.wikipedia.org/wiki/David_Owen","Labour Party (UK)","https://en.wikipedia.org/wiki/Labour_Party_(UK)"
8,"1979-11-13","Greenwood Theatre, South London","Peter Thorneycroft","https://en.wikipedia.org/wiki/Peter_Thorneycroft","Conservative Party (UK)","https://en.wikipedia.org/wiki/Conservative_Party_(UK)"
