$ csvcut -K 1 -c 4,6 appearances.csv | sort | uniq -c | sort -nr
  58 Kenneth Clarke,Conservative Party
  57 Shirley Williams,Labour Party
  46 Menzies Campbell,Liberal Party
  44 Harriet Harman,Labour Party
  43 Charles Kennedy,Liberal Party
  38 Michael Heseltine,Conservative Party
  37 Clare Short,Labour Party
  36 Paddy Ashdown,Liberal Party
  35 Roy Hattersley,Labour Party
  34 Simon Hughes,Liberal Party
  32 Nigel Farage,UK Independence Party
  31 Tony Benn,Labour Party
  30 Robin Cook,Labour Party
  30 Peter Hain,Labour Party
  29 Margaret Beckett,Labour Party
  29 Alex Salmond,Scottish National Party
  28 Melanie Phillips,Unknown
  28 John Prescott,Labour Party
  28 Diane Abbott,Labour Party
  28 David Steel,Liberal Party
  27 Vince Cable,Liberal Party
  27 Theresa May,Conservative Party
  27 Ann Leslie,Unknown
  26 Peter Hitchens,Unknown
  26 John Redwood,Conservative Party
  25 David Davis (British politician),Conservative Party
  24 Caroline Flint,Labour Party
  23 Piers Morgan,Unknown
  23 Norman Tebbit,Conservative Party
  23 Michael Howard,Conservative Party
  23 Ken Livingstone,Labour Party
  23 Gerald Kaufman,Labour Party
  23 Douglas Alexander,Labour Party
  23 Caroline Lucas,Green Party
  22 Liam Fox,Conservative Party
  22 Edwina Currie,Conservative Party
  21 Polly Toynbee,Unknown
  21 Michael Ancram,Conservative Party
  21 David Willetts,Conservative Party
  21 David Blunkett,Labour Party
  20 Shami Chakrabarti,Labour Party
  20 Nicola Sturgeon,Scottish National Party
  20 Malcolm Rifkind,Conservative Party
  20 Janet Street-Porter,Unknown
  20 Germaine Greer,Unknown
  19 Roy Jenkins,Labour Party
  19 John Smith (Labour Party leader),Labour Party
  19 Jack Straw,Labour Party
  19 Francis Maude,Conservative Party
  18 Ian Hislop,Unknown
  18 Iain Duncan Smith,Conservative Party
  18 Emily Thornberry,Labour Party
  18 "Jenny Tonge, Baroness Tonge",Unknown
  18 "Charlie Falconer, Baron Falconer of Thoroton",Labour Party
  17 Max Hastings,Unknown
  17 Leanne Wood,Plaid Cymru
  17 George Galloway,Independent
  17 David Owen,Labour Party
  17 Chris Bryant,Labour Party
  17 Andy Burnham,Labour Party
  17 Alan Duncan,Conservative Party
  16 Sarah Teather,Liberal Party
  16 Mo Mowlam,Labour Party
  16 Malcolm Bruce,Liberal Party
  16 Jo Swinson,Liberal Party
  16 Geoff Hoon,Labour Party
  16 Douglas Hurd,Conservative Party
  16 Denis Healey,Labour Party
  16 David Starkey,Unknown
  16 Chuka Umunna,Labour Party
  16 Chris Huhne,Liberal Party
  16 Alan Johnson,Labour Party
  16 "Susan Kramer, Baroness Kramer",Liberal Party
  16 "Sayeeda Warsi, Baroness Warsi",Conservative Party
  15 Yvette Cooper,Labour Party
  15 Tim Farron,Liberal Party
  15 Ruth Lea,Unknown
  15 Patricia Hewitt,Labour Party
  15 Nigel Lawson,Conservative Party
  15 Lembit Öpik,Liberal Party
  15 Justine Greening,Conservative Party
  15 Charles Moore (journalist),Unknown
  15 Anna Soubry,Conservative Party
  15 Ann Widdecombe,Conservative Party
  15 Andrew Neil,Unknown
  15 "Norman Fowler, Baron Fowler",Conservative Party
  15 "Kenneth Baker, Baron Baker of Dorking",Conservative Party
  14 William Hague,Conservative Party
  14 Will Self,Unknown
  14 Tony Blair,Labour Party
  14 Norman Lamont,Conservative Party
  14 Matthew Parris,Unknown
  14 Janet Daley,Unknown
  14 Cristina Odone,Unknown
  14 Chris Grayling,Conservative Party
